City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kirakira,SB,77.16,overcast clouds,-10.4544,161.9205,SanBiz Lodge
3,Ponta Do Sol,PT,85.71,overcast clouds,32.6667,-17.1,Hotel do Campo
14,Sinnamary,GF,81.95,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
19,Cabo San Lucas,MX,87.8,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
24,Waingapu,ID,77.11,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
25,Tual,ID,80.04,broken clouds,-5.6667,132.75,Grand Vilia Hotel
28,Umm Lajj,SA,90.97,clear sky,25.0213,37.2685,Moon light Furnished Units
30,Inirida,CO,81.55,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
32,Champerico,GT,89.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
39,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
43,Port Hawkesbury,CA,87.01,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
46,Garissa,KE,86.52,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
47,Bonthe,SL,79.07,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
58,Shawville,CA,75.67,clear sky,45.6001,-76.4827,Shawville Hotel
61,Atuona,PF,77.54,scattered clouds,-9.8,-139.0333,Villa Enata
62,Guanay,BO,81.66,scattered clouds,-15.4975,-67.8797,Hotel Ritzy
63,Playa Vicente,MX,78.94,few clouds,17.8333,-95.8167,"Hotel ""Imperio"""
64,Nampula,MZ,76.95,scattered clouds,-15.1165,39.2666,BUTIK Hotel
67,Bethel,US,86.49,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
72,Bocas Del Toro,PA,80.67,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
74,Margate,GB,76.86,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
77,Kavieng,PG,83.7,broken clouds,-2.5744,150.7967,Nusa Island Retreat
79,Manhattan,US,89.62,clear sky,40.7834,-73.9662,The Excelsior Hotel
84,Tarakan,ID,78.3,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
94,Saint George,US,88.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
