City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,44.47,82,100,6.69,overcast clouds
1,Poykovskiy,RU,61.2333,73.3333,70.09,68,0,6.71,clear sky
2,Kirakira,SB,-10.4544,161.9205,77.16,89,97,9.33,overcast clouds
3,Ponta Do Sol,PT,32.6667,-17.1,85.71,69,85,2.42,overcast clouds
4,Kristinehamn,SE,59.3098,14.1081,67.98,66,7,20.98,light rain
5,Asosa,ET,10.0667,34.5333,66.9,93,74,3.71,light rain
6,Barrow,US,71.2906,-156.7887,44.62,87,90,21.85,light rain
7,Port Alfred,ZA,-33.5906,26.891,61.38,66,75,18.68,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,35.62,96,100,1.25,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,59.81,65,0,15.88,clear sky
10,Saldanha,ZA,-33.0117,17.9442,68.05,64,0,12.28,clear sky
11,Hilo,US,19.7297,-155.09,71.8,93,90,8.05,moderate rain
12,Kruisfontein,ZA,-34.0033,24.7314,57.88,72,100,12.75,overcast clouds
13,Port Macquarie,AU,-31.4333,152.9167,49.96,100,40,0.0,scattered clouds
14,Sinnamary,GF,5.3833,-52.95,81.95,78,55,9.37,broken clouds
15,Upernavik,GL,72.7868,-56.1549,45.91,93,100,8.05,overcast clouds
16,Yellowknife,CA,62.456,-114.3525,59.13,83,54,2.57,light rain
17,Llallagua,BO,-18.4167,-66.6333,47.89,12,2,5.77,clear sky
18,Esperance,AU,-33.8667,121.9,55.76,81,20,9.51,few clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,87.8,69,1,3.0,clear sky
20,Albany,US,42.6001,-73.9662,80.46,72,81,3.0,broken clouds
21,Longyearbyen,SJ,78.2186,15.6401,46.24,61,20,9.22,few clouds
22,Saskylakh,RU,71.9167,114.0833,52.5,63,100,5.44,overcast clouds
23,Solnechnyy,RU,50.7214,136.6319,60.03,74,53,3.49,broken clouds
24,Waingapu,ID,-9.6567,120.2641,77.11,82,47,13.02,scattered clouds
25,Tual,ID,-5.6667,132.75,80.04,84,83,19.24,broken clouds
26,Leningradskiy,RU,69.3833,178.4167,40.91,84,99,20.11,overcast clouds
27,Leh,IN,34.1667,77.5833,62.06,40,80,7.92,broken clouds
28,Umm Lajj,SA,25.0213,37.2685,90.97,61,0,13.2,clear sky
29,Katsuura,JP,35.1333,140.3,71.71,91,100,23.96,overcast clouds
30,Inirida,CO,3.8653,-67.9239,81.55,74,100,1.05,overcast clouds
31,Ushuaia,AR,-54.8,-68.3,37.06,70,20,0.0,few clouds
32,Champerico,GT,14.3,-91.9167,89.35,81,87,1.57,overcast clouds
33,Severo-Kurilsk,RU,50.6789,156.125,52.48,87,10,8.23,clear sky
34,Rikitea,PF,-23.1203,-134.9692,74.12,81,100,16.58,overcast clouds
35,Vaini,TO,-21.2,-175.2,66.36,82,20,8.05,few clouds
36,Bluff,NZ,-46.6,168.3333,44.8,76,96,25.28,overcast clouds
37,Terney,RU,45.0503,136.6092,56.1,89,15,4.85,few clouds
38,Port Elizabeth,ZA,-33.918,25.5701,60.1,72,0,12.66,clear sky
39,Acapulco,MX,16.8634,-99.8901,84.02,70,40,3.44,scattered clouds
40,Geraldton,AU,-28.7667,114.6,48.61,93,0,8.05,clear sky
41,Lotoshino,RU,56.2267,35.6414,71.53,56,92,7.81,overcast clouds
42,Cape Town,ZA,-33.9258,18.4232,64.81,63,0,1.01,clear sky
43,Port Hawkesbury,CA,45.6169,-61.3485,87.01,77,1,5.99,clear sky
44,Pevek,RU,69.7008,170.3133,37.72,93,100,23.26,light rain
45,Jamestown,US,42.097,-79.2353,74.17,65,51,8.21,broken clouds
46,Garissa,KE,-0.4536,39.6401,86.52,40,86,22.88,overcast clouds
47,Bonthe,SL,7.5264,-12.505,79.07,74,100,12.53,overcast clouds
48,Angra Dos Reis,BR,-23.0067,-44.3181,67.96,92,99,2.89,overcast clouds
49,Saravan,AM,39.7196,45.6483,83.05,41,56,8.46,broken clouds
50,Mala,PE,-12.6581,-76.6308,65.93,70,74,5.37,broken clouds
51,Provideniya,RU,64.3833,-173.3,47.34,99,100,5.61,overcast clouds
52,Clyde River,CA,70.4692,-68.5914,41.23,93,90,8.05,mist
53,Luderitz,NA,-26.6481,15.1594,69.48,35,0,20.0,clear sky
54,Hobart,AU,-42.8794,147.3294,53.46,62,90,3.0,overcast clouds
55,Ahipara,NZ,-35.1667,173.1667,54.7,83,37,11.79,scattered clouds
56,Isangel,VU,-19.55,169.2667,66.42,78,65,13.98,broken clouds
57,Ancud,CL,-41.8697,-73.8203,44.13,78,100,4.25,overcast clouds
58,Shawville,CA,45.6001,-76.4827,75.67,52,0,11.16,clear sky
59,Avarua,CK,-21.2078,-159.775,69.85,78,75,6.91,broken clouds
60,Pangnirtung,CA,66.1451,-65.7125,53.6,82,90,9.22,moderate rain
61,Atuona,PF,-9.8,-139.0333,77.54,79,34,15.9,scattered clouds
62,Guanay,BO,-15.4975,-67.8797,81.66,45,50,2.46,scattered clouds
63,Playa Vicente,MX,17.8333,-95.8167,78.94,85,20,5.35,few clouds
64,Nampula,MZ,-15.1165,39.2666,76.95,50,40,13.8,scattered clouds
65,Bredasdorp,ZA,-34.5322,20.0403,59.29,55,0,14.97,clear sky
66,Puerto Ayora,EC,-0.7393,-90.3518,71.56,76,94,6.06,overcast clouds
67,Bethel,US,41.3712,-73.414,86.49,86,20,1.99,few clouds
68,Saint-Leu,RE,-21.15,55.2833,72.43,80,24,16.44,light rain
69,Thompson,CA,55.7435,-97.8558,62.76,82,75,3.44,broken clouds
70,Talnakh,RU,69.4865,88.3972,54.12,86,100,6.49,overcast clouds
71,Evensk,RU,61.95,159.2333,49.5,98,100,4.92,overcast clouds
72,Bocas Del Toro,PA,9.3333,-82.25,80.67,76,100,1.88,overcast clouds
73,Castro,BR,-24.7911,-50.0119,57.27,85,93,6.44,moderate rain
74,Margate,GB,51.3813,1.3862,76.86,57,46,7.58,scattered clouds
75,Busselton,AU,-33.65,115.3333,47.08,85,0,7.96,clear sky
76,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,38,0,4.61,clear sky
77,Kavieng,PG,-2.5744,150.7967,83.7,75,54,15.23,broken clouds
78,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,11.5,light rain
79,Manhattan,US,40.7834,-73.9662,89.62,62,1,4.61,clear sky
80,General Roca,AR,-39.0333,-67.5833,54.0,30,0,9.95,clear sky
81,Vestmannaeyjar,IS,63.4427,-20.2734,58.19,82,20,17.27,few clouds
82,Chokurdakh,RU,70.6333,147.9167,41.67,72,100,12.82,overcast clouds
83,Asbe Teferi,ET,9.0833,40.8667,68.9,72,44,7.58,light rain
84,Tarakan,ID,3.3,117.6333,78.3,94,20,2.3,few clouds
85,Disna,BY,55.568,28.1971,75.36,57,99,12.28,overcast clouds
86,Kenai,US,60.5544,-151.2583,47.03,93,90,0.0,light rain
87,Tasiilaq,GL,65.6145,-37.6368,48.36,80,28,3.02,scattered clouds
88,Telimele,GN,10.9167,-13.3333,75.65,92,99,4.92,moderate rain
89,Nalut,LY,30.3333,10.85,99.57,14,4,11.99,clear sky
90,Yulara,AU,-25.2406,130.9889,58.84,29,8,8.05,clear sky
